Soit \(E\) un \(\mathbb{K}\)-espace vectoriel de dimension finie \(n \in \mathbb{N}^*\), et \(\mathcal{B} = (e_1, \dots, e_n)\) une base de \(E\). Pour \(x \in E\), de coordonnées \((x_1, \dots, x_n)\) telles que \(x = \sum_{k=1}^{n} x_k e_k\). Quelle est la définition de la matrice colonne de \(x\) dans la base \(\mathcal{B}\) ?;La matrice colonne de \(x\) dans la base \(\mathcal{B}\) est définie par : \(X = \begin{pmatrix} x_1 \\ x_2 \\ \vdots \\ x_n \end{pmatrix} \in \mathcal{M}_{n,1}(\mathbb{K})\). On la note : \(X = \text{mat}_{\mathcal{B}}(x)\).
Soit \(E\) un \(\mathbb{K}\)-espace vectoriel de dimension finie \(n \in \mathbb{N}^*\), et soit \(\mathcal{B}\) une base de \(E\). Quelles sont les propriétés de l'application \(\varphi : E \to \mathcal{M}_{n,1}(\mathbb{K}), x \mapsto \text{mat}_{\mathcal{B}}(x)\) ?;L'application \(\varphi\) est un isomorphisme (elle est bijective et linéaire). Autrement dit : un vecteur de \(E\) est entièrement déterminé par sa matrice dans la base \(\mathcal{B}\), et pour tout \(x, y \in E\) et \(\lambda \in \mathbb{K}\), \(\text{mat}_{\mathcal{B}}(\lambda x + y) = \lambda \text{mat}_{\mathcal{B}}(x) + \text{mat}_{\mathcal{B}}(y)\).
Soit \(E\) un \(\mathbb{K}\)-espace vectoriel de dimension finie \(n \in \mathbb{N}^*\), \(\mathcal{B} = (e_1, \dots, e_n)\) une base de \(E\), et \((v_1, \dots, v_p)\) une famille de vecteurs de \(E\). Comment définit-on la matrice de la famille \((v_1, \dots, v_p)\) dans la base \(\mathcal{B}\) ?;Elle est définie comme la matrice de taille \(n \times p\) dont la j-ième colonne est constituée des coordonnées de \(v_j\) dans la base \(\mathcal{B}\) (\(\text{mat}_{\mathcal{B}}(v_j)\)). On la note \(\text{mat}_{\mathcal{B}}(v_1, \dots, v_p)\).
Soit \(E\) un \(\mathbb{K}\)-espace vectoriel de dimension finie \(n \in \mathbb{N}^*\), \(\mathcal{B}\) une base de \(E\), et \((v_1, \dots, v_n)\) une famille de \(n\) vecteurs de \(E\). À quelle condition matricielle cette famille forme-t-elle une base de \(E\) ?;\((v_1, \dots, v_n)\) est une base de \(E \iff \text{mat}_{\mathcal{B}}(v_1, \dots, v_n)\) est inversible.
Soient \(E\) et \(F\) des \(\mathbb{K}\)-espaces vectoriels avec \(\dim(E)=p\) et \(\dim(F)=n\). Soient \(\mathcal{B} = (e_1, \dots, e_p)\) et \(\mathcal{C} = (f_1, \dots, f_n)\) des bases respectives de \(E\) et \(F\). Pour \(u \in \mathcal{L}(E, F)\), comment définit-on la matrice de \(u\) dans les bases \(\mathcal{B}\) et \(\mathcal{C}\) ?;C'est la matrice \(A = (a_{i,j}) \in \mathcal{M}_{n,p}(\mathbb{K})\), notée \(\text{mat}_{\mathcal{B},\mathcal{C}}(u)\), dont la j-ième colonne est constituée des coordonnées de \(u(e_j)\) dans la base \(\mathcal{C}\).
Soit \(A \in \mathcal{M}_{n,p}(\mathbb{K})\). Si \(E = \mathbb{K}^p\) et \(F = \mathbb{K}^n\) sont munis de leurs bases canoniques, qu'appelle-t-on l'application linéaire canoniquement associée à \(A\) ?;C'est l'application \(u \in \mathcal{L}(\mathbb{K}^p, \mathbb{K}^n)\) telle que \(\text{mat}_{can}(u) = A\).
Soient \(E, F\) des \(\mathbb{K}\)-espaces vectoriels de dimensions \(p\) et \(n\), munis de bases \(\mathcal{B}\) et \(\mathcal{C}\). Quelles sont les propriétés de l'application \(\varphi : \mathcal{L}(E, F) \to \mathcal{M}_{n,p}(\mathbb{K}), u \mapsto \text{mat}_{\mathcal{B},\mathcal{C}}(u)\) ?;L'application \(\varphi\) est un isomorphisme. Toute application linéaire est déterminée par sa matrice, et pour tout \(u, v \in \mathcal{L}(E, F)\), \(\lambda \in \mathbb{K}\), \(\text{mat}_{\mathcal{B},\mathcal{C}}(\lambda u + v) = \lambda \text{mat}_{\mathcal{B},\mathcal{C}}(u) + \text{mat}_{\mathcal{B},\mathcal{C}}(v)\).
Soient \(E\) et \(F\) des \(\mathbb{K}\)-espaces vectoriels de dimension finie. Que peut-on dire de la dimension de l'espace \(\mathcal{L}(E, F)\) ?;\(\mathcal{L}(E, F)\) est de dimension finie et \(\dim(\mathcal{L}(E, F)) = \dim(E) \times \dim(F)\).
Soient \(u \in \mathcal{L}(E, F)\), \(x \in E\) et \(y \in F\). En notant \(A = \text{mat}_{\mathcal{B}, \mathcal{C}}(u)\) et \(X = \text{mat}_{\mathcal{B}}(x)\), quelle est la traduction matricielle de \(y = u(x)\) ?;En notant \(Y = \text{mat}_{\mathcal{C}}(y)\), on a \(Y = AX\). Autrement dit, \(\text{mat}_{\mathcal{C}}(u(x)) = \text{mat}_{\mathcal{B}, \mathcal{C}}(u) \times \text{mat}_{\mathcal{B}}(x)\).
Soient \(A\) et \(B\) des matrices de \(\mathcal{M}_{n,p}(\mathbb{K})\). Quelle équivalence a-t-on concernant le produit avec un vecteur colonne \(X \in \mathcal{M}_{p,1}(\mathbb{K})\) ?;(\(\forall X \in \mathcal{M}_{p,1}(\mathbb{K}), AX = BX\)) \(\iff A = B\) (ce qui signifie que les endomorphismes associés sont égaux).
Soient \(u \in \mathcal{L}(E, F)\) et \(v \in \mathcal{L}(F, G)\). Soient \(\mathcal{B}, \mathcal{C}, \mathcal{D}\) des bases respectives de \(E, F, G\). Quelle est la matrice de la composition \(v \circ u\) ?;\(\text{mat}_{\mathcal{B}, \mathcal{D}}(v \circ u) = \text{mat}_{\mathcal{C}, \mathcal{D}}(v) \times \text{mat}_{\mathcal{B}, \mathcal{C}}(u)\). Si \(E=F=G\) et \(\mathcal{B}=\mathcal{C}=\mathcal{D}\), on a \(\text{mat}_{\mathcal{B}}(v \circ u) = \text{mat}_{\mathcal{B}}(v) \times \text{mat}_{\mathcal{B}}(u)\).
Soient \(E\) et \(F\) des \(\mathbb{K}\)-espaces vectoriels de même dimension \(n \in \mathbb{N}^*\), avec des bases respectives \(\mathcal{B}\) et \(\mathcal{C}\). À quelle condition \(u \in \mathcal{L}(E, F)\) est-elle bijective ?;\(u\) est bijective \(\iff \text{mat}_{\mathcal{B},\mathcal{C}}(u)\) est inversible. Dans ce cas, \(\text{mat}_{\mathcal{C},\mathcal{B}}(u^{-1}) = (\text{mat}_{\mathcal{B},\mathcal{C}}(u))^{-1}\).
Soit \(A \in \mathcal{M}_n(\mathbb{K})\). À quelles conditions la matrice \(A\) est-elle inversible (à droite ou à gauche) ?;\(A\) est inversible \(\iff \exists B \in \mathcal{M}_n(\mathbb{K}), AB = I_n\) (inversible à droite) \(\iff \exists B \in \mathcal{M}_n(\mathbb{K}), BA = I_n\) (inversible à gauche). Dans ce cas, la matrice \(B\) est \(A^{-1}\).
Soit \(E\) un \(\mathbb{K}\)-ev de dimension \(n\), et \(\mathcal{B}, \mathcal{B}'\) deux bases de \(E\). Qu'appelle-t-on matrice de passage de \(\mathcal{B}\) à \(\mathcal{B}'\) (\(P_{\mathcal{B},\mathcal{B}'}\)) ?;C'est la matrice de la famille \(\mathcal{B}'\) dans la base \(\mathcal{B}\). Sa j-ème colonne est constituée des coordonnées du j-ème vecteur de \(\mathcal{B}'\) dans la base \(\mathcal{B}\).
Soient \(\mathcal{B}, \mathcal{B}', \mathcal{B}''\) des bases d'un ev \(E\) de dimension \(n \in \mathbb{N}^*\). Quelles sont les propriétés des matrices de passage ?;\(P_{\mathcal{B},\mathcal{B}} = I_n\) ; \(P_{\mathcal{B},\mathcal{B}'} \times P_{\mathcal{B}',\mathcal{B}''} = P_{\mathcal{B},\mathcal{B}''}\) ; \(P_{\mathcal{B},\mathcal{B}'}\) est inversible et \((P_{\mathcal{B},\mathcal{B}'})^{-1} = P_{\mathcal{B}',\mathcal{B}}\).
Soit \(E\) un \(\mathbb{K}\)-ev de dimension finie, et \(\mathcal{B}, \mathcal{B}'\) des bases de \(E\). Pour \(x \in E\), on note \(X = \text{mat}_{\mathcal{B}}(x)\), \(X' = \text{mat}_{\mathcal{B}'}(x)\) et \(P = P_{\mathcal{B},\mathcal{B}'}\). Quelle relation lie \(X\), \(X'\) et \(P\) ?;\(X = PX'\).
Soit \(u \in \mathcal{L}(E, F)\), avec \(A = \text{mat}_{\mathcal{B}, \mathcal{C}}(u)\), \(A' = \text{mat}_{\mathcal{B}', \mathcal{C}'}(u)\). En notant \(P = P_{\mathcal{B},\mathcal{B}'}\) et \(Q = P_{\mathcal{C},\mathcal{C}'}\), quelle est la formule de changement de base pour l'application linéaire \(u\) ?;On a la relation : \(A' = Q^{-1} A P\).
Soient \(A\) et \(A'\) dans \(\mathcal{M}_n(\mathbb{K})\). Quand dit-on que les matrices \(A\) et \(A'\) sont semblables ?;Elles sont semblables s'il existe une matrice \(P \in GL_n(\mathbb{K})\) (inversible) telle que \(A' = P^{-1} A P\).
Soient \(A\) et \(A'\) deux matrices carrées semblables. Que cela implique-t-il sur l'endomorphisme qu'elles représentent ?;Deux matrices carrées sont semblables si et seulement si elles représentent un même endomorphisme, mais dans des bases différentes.
Quel est l'énoncé du Théorème du rang pour une matrice \(A \in \mathcal{M}_{n,p}(\mathbb{K})\) ?;Pour \(A \in \mathcal{M}_{n,p}(\mathbb{K})\), on a : \(p = \dim(\text{Ker}(A)) + \dim(\text{Im}(A))\), avec \(\dim(\text{Im}(A)) = \text{rg}(A)\).
Soit \(A \in \mathcal{M}_n(\mathbb{K})\). Quelles sont les équivalences de l'inversibilité de \(A\) utilisant son noyau, son image et son rang ?;\(A\) inversible \(\iff \text{Ker}(A) = \{0\} \iff \text{Im}(A) = \mathcal{M}_{n,1}(\mathbb{K}) \iff \text{rg}(A) = n\).
Soient \(A \in \mathcal{M}_{n,p}(\mathbb{K})\) et \(B \in \mathcal{M}_{p,q}(\mathbb{K})\). Quelles sont les inégalités sur le rang, et comment le rang évolue-t-il par multiplication avec une matrice inversible ?;\(\text{rg}(A) \le \min(n, p)\) et \(\text{rg}(AB) \le \min(\text{rg}(A), \text{rg}(B))\). Le rang est inchangé par multiplication par une matrice inversible : si \(B\) inversible, \(\text{rg}(AB) = \text{rg}(A)\) ; si \(A\) inversible, \(\text{rg}(AB) = \text{rg}(B)\).
Quel est l'effet des opérations élémentaires (sur les lignes ou sur les colonnes) sur le rang d'une matrice ?;Les opérations élémentaires ne changent pas le rang d'une matrice.
Soit \(A \in \mathcal{M}_{n,p}(\mathbb{K})\). Quelle est la relation entre le rang de \(A\) et celui de sa transposée \(A^T\) ?;Le rang de \(A\) est égal à celui de sa transposée : \(\text{rg}(A^T) = \text{rg}(A)\).
Soit \(A \in \mathcal{M}_{n,p}(\mathbb{K})\) de lignes \(L_1, \dots, L_n\). Comment exprimer le rang de \(A\) en fonction de ses lignes ?;\(\text{rg}(A) = \text{rg}(L_1, \dots, L_n) = \dim(\text{Vect}(L_1, \dots, L_n))\).
Soit \(E\) un ev de dimension finie, \(\mathcal{B}\) une base de \(E\) et \((v_1, \dots, v_p)\) une famille de vecteurs de \(E\). Quel est le lien entre le rang de la famille et celui de sa matrice \(A = \text{mat}_{\mathcal{B}}(v_1, \dots, v_p)\) ?;\(\text{rg}(v_1, \dots, v_p) = \text{rg}(A)\).
Soit \(f \in \mathcal{L}(E, F)\), avec \(E, F\) de dimension finie. Quel est le lien entre le rang de \(f\) et la matrice \(A = \text{mat}_{\mathcal{B}, \mathcal{C}}(f)\) ?;\(\text{rg}(f) = \text{rg}(A)\).
Quand dit-on qu'une application \(f : \mathcal{M}_n(\mathbb{K}) \to \mathbb{K}\) est \(n\)-linéaire et antisymétrique par rapport aux colonnes ?;Elle est \(n\)-linéaire si elle est linéaire par rapport à chaque colonne (\(f(\dots \lambda C_j + C'_j \dots) = \lambda f(\dots C_j \dots) + f(\dots C'_j \dots)\)). Elle est antisymétrique si échanger deux colonnes distinctes change le signe (\(f(\dots C_i \dots C_j \dots) = -f(\dots C_j \dots C_i \dots)\)).
Soit \(f : \mathcal{M}_n(\mathbb{K}) \to \mathbb{K}\) une application \(n\)-linéaire et antisymétrique par rapport aux colonnes. Que vaut \(f(A)\) si \(A\) possède deux colonnes identiques ?;On a \(f(A) = 0\) (on dit alors que \(f\) est alternée).
Comment définit-on le déterminant d'une matrice \(A \in \mathcal{M}_n(\mathbb{K})\) ?;Il existe une unique forme \(f : \mathcal{M}_n(\mathbb{K}) \to \mathbb{K}\) \(n\)-linéaire et antisymétrique par rapport aux colonnes vérifiant \(f(I_n) = 1\). Ce nombre \(f(A)\) est le déterminant de \(A\), noté \(\det(A)\) ou \(\begin{vmatrix} a_{1,1} & \dots \\ \vdots & \ddots \end{vmatrix}\).
Soit \(A \in \mathcal{M}_n(\mathbb{K})\). Quelles sont les conséquences sur \(\det(A)\) de deux colonnes identiques, d'une colonne nulle, et que vaut \(\det(\lambda A)\) ?;Si deux colonnes sont identiques ou si une colonne est nulle, \(\det(A) = 0\). Pour tout \(\lambda \in \mathbb{K}\), \(\det(\lambda A) = \lambda^n \det(A)\) (le déterminant n'est pas linéaire).
Soit \(A \in \mathcal{M}_n(\mathbb{K})\). Quel est l'effet des opérations élémentaires \(C_i \leftrightarrow C_j\), \(C_i \leftarrow \mu C_i\) (\(\mu \neq 0\)) et \(C_i \leftarrow C_i + \lambda C_j\) sur le déterminant ?;L'échange \(C_i \leftrightarrow C_j\) (\(i \neq j\)) change le signe. L'opération \(C_i \leftarrow \mu C_i\) multiplie le déterminant par \(\mu\). L'opération \(C_i \leftarrow C_i + \lambda C_j\) (\(i \neq j\)) ne change pas le déterminant.
Soit \(A \in \mathcal{M}_n(\mathbb{K})\). Quelle est la relation entre le déterminant de \(A\) et celui de sa transposée ?;\(\det(A^T) = \det(A)\).
Soit \(A = (a_{i,j}) \in \mathcal{M}_n(\mathbb{K})\). Quelles sont les formules de développement du déterminant par rapport à la colonne \(j\) ou la ligne \(i\) ?;Par rapport à la colonne \(j\) : \(\det(A) = \sum_{i=1}^{n} (-1)^{i+j} a_{i,j} \Delta_{i,j}\). Par rapport à la ligne \(i\) : \(\det(A) = \sum_{j=1}^{n} (-1)^{i+j} a_{i,j} \Delta_{i,j}\), où \(\Delta_{i,j}\) est le déterminant de taille \(n-1\) sans la ligne \(i\) et colonne \(j\).
Comment calcule-t-on le déterminant d'une matrice diagonale ou triangulaire ?;Le déterminant est le produit de ses coefficients diagonaux : \(\prod_{i=1}^{n} d_i = d_1 d_2 \dots d_n\).
Soient \(A\) et \(B\) des matrices de \(\mathcal{M}_n(\mathbb{K})\). Quel est le déterminant de leur produit ?;\(\det(AB) = \det(A)\det(B)\).
Soit \(A \in \mathcal{M}_n(\mathbb{K})\). À quelle condition sur son déterminant la matrice \(A\) est-elle inversible, et que vaut alors \(\det(A^{-1})\) ?;\(A\) est inversible \(\iff \det(A) \neq 0\). Dans ce cas, \(\det(A^{-1}) = \frac{1}{\det(A)}\).
Soit \(E\) un \(\mathbb{K}\)-espace vectoriel de dimension \(n\), et \(\mathcal{B}\) une base de \(E\). Comment définit-on le déterminant de la famille de \(n\) vecteurs \((v_1, \dots, v_n)\) dans la base \(\mathcal{B}\) ?;C'est le déterminant de la matrice de cette famille dans \(\mathcal{B}\) : \(\det_{\mathcal{B}}(v_1, \dots, v_n) = \det(\text{mat}_{\mathcal{B}}(v_1, \dots, v_n))\).
Soit \(E\) un ev de dimension \(n\), \(\mathcal{B}\) une base, et \((v_1, \dots, v_n)\) une famille de vecteurs. À quelle condition cette famille est-elle une base de \(E\) ?;\((v_1, \dots, v_n)\) est une base de \(E \iff \det_{\mathcal{B}}(v_1, \dots, v_n) \neq 0\).
Soit \(E\) un \(\mathbb{K}\)-espace vectoriel de dimension finie \(n \in \mathbb{N}^*\), et \(u \in \mathcal{L}(E)\). Comment définit-on le déterminant de l'endomorphisme \(u\) ?;Le nombre \(\det(\text{mat}_{\mathcal{B}}(u))\) ne dépend pas de la base \(\mathcal{B}\) choisie. On l'appelle déterminant de \(u\), noté \(\det(u)\).
Soient \(u, v \in \mathcal{L}(E)\) avec \(\dim(E)=n\). Quelles sont les propriétés du déterminant pour \(\lambda u\), \(u \circ v\), et l'inversibilité de \(u\) ?;\(\forall \lambda \in \mathbb{K}, \det(\lambda u) = \lambda^n \det(u)\) ; \(\det(u \circ v) = \det(u) \times \det(v)\) ; \(u\) bijective \(\iff \det(u) \neq 0\), et dans ce cas \(\det(u^{-1}) = \frac{1}{\det(u)}\).